﻿Title:,"Table 1 - Buildings and spaces"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total number of sites","Total number of buildings","Total site area (hectares)","Total grounds area (hectares)","Total playing fields area (hectares)","Total gross internal area (m2)","Total number of car parking spaces","Total number of cycle spaces"
"10008017","Trinity Laban Conservatoire of Music and Dance","3","4","1.600","0.380","0.000","18,836.600","87","32"
"10007858","University of Wales Trinity Saint David","6","119","59.970","27.981","9.000","127,947.000","",""
"10007114","University of the Highlands and Islands","70","111","98.009","98.009","0.000","164,876.000","810","100"
"10007807","Ulster University","6","80","213.000","80.000","45.234","251,667.720","4,901","377"
"10007784","University College London","","223","52.350","16.000","36.000","561,241.000","","742"
"10007793","University of South Wales","9","128","49.000","37.043","16.000","215,761.740","3,246","497"
"10007163","The University of Warwick","4","422","224.642","154.130","45.193","545,497.850","4,245","2,500"
"10007164","University of the West of England, Bristol","6","231","86.166","72.930","0.952","269,936.760","2,901","1,067"
"10007800","The University of the West of Scotland","6","56","41.977","21.516","3.791","128,200.600","1,483","321"
"10006566","The University of West London","5","9","2.440","2.440","0.000","52,484.650","140","170"
"10007165","The University of Westminster","12","39","27.000","11.700","10.000","171,171.900","543","462"
"10003614","The University of Winchester","3","58","13.000","8.000","4.000","69,815.000","514","164"
"10007166","The University of Wolverhampton","4","84","37.818","18.607","6.586","174,386.000","1,897","238"
"10007139","University of Worcester","9","60","86.212","72.482","23.268","85,957.500","1,159","775"
"10007833","Wrexham University","7","30","62.130","41.330","4.000","56,629.000","1,368","72"
"10007657","Writtle University College","5","87","220.000","150.420","8.000","40,330.000","634","253"
"10007713","York St John University","10","71","40.480","23.192","8.690","77,863.800","251","782"
"10007167","The University of York","3","242","189.000","159.000","19.580","364,796.000","2,807","2,996"
