﻿Title:,"Table 11 - HE staff FTE by HE provider and cost centre"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT025 Table 11
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/staff/table-11.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Contract marker,All (including atypical) 
,Academic year,2014/15 
Search:,


"UKPRN","HE Provider","Medicine, dentistry & health","Agriculture, forestry & veterinary science","Biological, mathematical & physical sciences","Engineering & technology","Architecture & planning","Administration & business studies","Social studies","Humanities & language based studies & archaeology","Design, creative & performing arts","Education","Total academic services","Central administration & services, staff and student facilities","Premises","Residences & catering","Total all cost centres"
"10006299","Staffordshire University","135","0","60","205","0","80","150","10","85","85","190","315","10","50","1,385"
"10007804","The University of Stirling","150","0","190","30","0","100","155","85","0","90","170","280","140","45","1,435"
"10037449","University of St Mark and St John","15","0","0","0","0","0","0","5","15","110","0","115","35","10","305"
"10008010","Stranmillis University College","0","0","0","0","0","0","0","0","0","60","10","35","30","30","165"
"10007805","The University of Strathclyde","260","0","385","710","30","225","165","90","0","165","275","640","80","55","3,080"
"10014001","University of Suffolk","65","0","15","5","0","15","35","10","25","0","5","165","15","0","355"
"10007159","The University of Sunderland","175","0","40","95","0","180","170","70","95","120","205","390","105","55","1,705"
"10007160","The University of Surrey","185","40","385","390","0","180","140","65","95","5","220","410","140","170","2,430"
"10007806","The University of Sussex","175","0","410","105","0","170","355","175","15","55","280","305","5","15","2,070"
"10007855","Swansea University","600","0","125","495","0","110","280","155","0","35","0","685","155","105","2,745"
"10007161","Teesside University","345","0","50","280","0","60","100","25","45","70","285","250","100","35","1,645"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","0","0","0","0","0","0","230","0","0","0","0","0","230"
"10007858","University of Wales Trinity Saint David","20","0","5","65","15","85","25","65","155","110","130","310","65","75","1,130"
"10007114","University of the Highlands and Islands","15","0","0","0","0","0","0","10","0","0","35","130","5","0","205"
"10007807","Ulster University","285","0","175","410","65","215","220","80","60","70","345","310","115","20","2,365"
"10007784","University College London","4,205","0","1,710","750","360","60","480","540","65","0","645","1,060","20","65","9,965"
"10007793","University of South Wales","245","0","110","210","20","110","130","100","225","110","175","665","105","75","2,290"
"10008574","The University of Wales (central functions)","0","0","0","0","0","0","0","0","0","0","0","95","0","20","115"
"10007163","The University of Warwick","475","0","840","610","0","430","370","300","40","125","390","810","400","575","5,360"
"10007164","University of the West of England, Bristol","310","0","150","205","120","195","220","55","110","75","350","745","185","95","2,815"
"10007800","The University of the West of Scotland","220","0","105","140","0","85","120","5","35","75","185","295","110","40","1,410"
"10006566","The University of West London","165","0","5","35","10","140","75","0","140","0","115","135","10","0","835"
"10007165","The University of Westminster","65","0","120","100","125","235","195","135","135","10","210","400","80","35","1,835"
"10003614","The University of Winchester","40","0","0","0","0","50","70","100","45","150","50","140","55","85","790"
"10007166","The University of Wolverhampton","230","0","95","120","40","85","110","70","135","165","170","570","235","60","2,085"
"10007139","University of Worcester","155","0","50","15","0","50","45","40","35","190","95","250","65","45","1,030"
"10007833","Wrexham University","50","5","5","80","5","30","15","10","30","35","100","120","25","25","530"
"10007657","Writtle University College","0","115","0","0","0","0","0","0","10","10","25","65","10","20","250"
"10007713","York St John University","70","0","0","5","0","45","20","100","55","90","80","140","65","20","685"
"10007167","The University of York","410","0","815","235","0","65","340","280","95","95","225","560","155","175","3,450"
"","Total","58,580","4,120","38,950","28,990","3,700","17,580","24,420","16,480","12,775","13,230","30,065","63,650","18,335","11,765","342,640"
