﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2023/24 
Search:,


"UKPRN","HE provider","Female","Male","Unknown","Total"
"10014001","University of Suffolk","7,375","6,540","5","13,915"
"10007159","The University of Sunderland","11,980","7,995","0","19,975"
"10007160","The University of Surrey","8,825","7,410","80","16,315"
"10007806","The University of Sussex","10,535","8,660","25","19,220"
"10007855","Swansea University","10,480","10,630","115","21,225"
"10083403","The Engineering and Design Institute London","45","75","5","120"
"10007161","Teesside University","14,245","10,755","50","25,045"
"10082743","ThinkSpace Education Limited","20","100","0","120"
"10008017","Trinity Laban Conservatoire of Music and Dance","825","465","10","1,300"
"10007858","University of Wales Trinity Saint David","8,880","6,735","40","15,660"
"10068157","University Centre Peterborough","405","170","0","570"
"10007114","University of the Highlands and Islands","5,915","3,525","95","9,530"
"10007807","Ulster University","17,085","14,770","55","31,915"
"10039956","The University of Law","12,170","6,085","25","18,285"
"10024766","Union Foundation","15","80","0","95"
"10007784","University College London","31,475","19,840","125","51,435"
"10007793","University of South Wales","12,355","10,960","360","23,670"
"10029843","Waltham International College Limited","5","5","0","10"
"10007163","The University of Warwick","14,555","14,525","350","29,435"
"10007361","Waverley Abbey College","205","45","0","250"
"10007164","University of the West of England, Bristol","19,670","16,190","70","35,925"
"10007800","The University of the West of Scotland","10,195","6,390","190","16,780"
"10032288","West Dean College","200","35","5","240"
"10006566","The University of West London","9,825","8,510","80","18,410"
"10007165","The University of Westminster","12,595","9,425","20","22,040"
"10003614","The University of Winchester","5,020","2,390","105","7,515"
"10007166","The University of Wolverhampton","12,980","6,700","15","19,700"
"10007139","University of Worcester","6,490","2,630","40","9,160"
"10007833","Wrexham University","5,285","3,680","25","8,990"
"10007657","Writtle University College","690","135","0","825"
"10007713","York St John University","6,435","4,435","40","10,905"
"10007167","The University of York","12,800","9,570","75","22,445"
"","Total","1,645,805","1,246,880","11,740","2,904,425"
