﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10007794","The University of Glasgow","505","55","7,300","435","740","9,030","3,930","0","0","0","645","4,570","13,605"
"10007145","University of Gloucestershire","20","15","350","75","265","725","1,855","85","0","35","345","2,320","3,045"
"10002718","Goldsmiths College","110","0","1,710","295","70","2,190","1,635","0","0","10","95","1,740","3,925"
"10030408","Gower College Swansea","0","0","0","0","0","0","0","0","0","0","5","5","5"
"10007146","The University of Greenwich","60","0","905","110","395","1,475","3,870","145","85","120","225","4,445","5,915"
"10007937","GSM London","0","0","60","0","50","110","835","0","0","0","420","1,260","1,370"
"10007825","Guildhall School of Music and Drama","5","0","170","0","35","210","170","0","0","0","15","185","395"
"10040812","Harper Adams University","15","5","150","0","180","355","580","145","0","0","70","795","1,150"
"10080811","Hartpury University","0","0","55","0","10","65","325","100","0","0","25","450","515"
"10007764","Heriot-Watt University","145","10","1,275","0","140","1,570","1,780","0","0","0","210","1,990","3,560"
"10007147","University of Hertfordshire","75","15","1,200","200","660","2,150","4,755","335","0","5","670","5,765","7,915"
"10007148","The University of Huddersfield","175","90","865","170","295","1,595","3,925","0","0","95","455","4,475","6,070"
"10007149","The University of Hull","155","0","675","160","120","1,110","3,535","100","0","0","265","3,900","5,010"
"10003239","ICON College of Technology and Management","0","0","0","0","0","0","0","0","440","0","0","440","440"
"10003270","Imperial College of Science, Technology and Medicine","895","580","3,770","0","120","5,360","2,660","0","0","0","0","2,660","8,020"
"10035638","Institute of Contemporary Music Performance","0","0","30","0","0","30","220","0","65","0","50","340","370"
"10029682","The Islamic College","0","0","0","0","0","0","5","0","0","0","0","5","5"
"10021682","Kaplan Open Learning (Essex) Limited","0","0","5","0","20","20","35","0","0","0","115","150","170"
"10007767","Keele University","105","10","460","0","410","985","2,070","0","0","0","375","2,445","3,430"
"10003566","Kensington College of Business","0","0","0","0","0","0","25","0","100","0","10","135","135"
"10007150","The University of Kent","225","45","1,390","0","240","1,895","4,220","25","20","0","220","4,485","6,380"
"10003645","King's College London","675","15","6,015","165","1,010","7,880","4,950","0","0","0","235","5,185","13,065"
"10008325","KLC School of Design","0","0","0","0","0","0","5","20","0","0","75","100","100"
"10003678","Kingston University","85","15","1,555","140","435","2,230","3,435","255","10","0","640","4,335","6,570"
"10009285","Kogan Academy of Dramatic Arts","0","0","0","0","0","0","10","0","0","0","0","10","10"
"10007768","The University of Lancaster","280","25","1,560","0","205","2,070","2,840","0","0","0","200","3,045","5,115"
"10066551","LCCM AU UK Limited","0","0","5","0","0","5","55","0","0","0","20","75","80"
"10003854","Leeds Arts University","0","0","25","0","0","30","455","0","0","0","45","500","530"
"10003861","Leeds Beckett University","55","25","1,085","270","1,070","2,500","4,350","15","15","0","555","4,940","7,440"
"10034449","Leeds Conservatoire","0","0","25","0","0","25","310","20","0","0","20","350","375"
"10007795","The University of Leeds","615","40","4,720","0","420","5,790","6,670","75","0","0","195","6,945","12,735"
"10003863","Leeds Trinity University","10","10","70","270","110","470","785","30","0","40","90","940","1,410"
"10007796","The University of Leicester","340","10","2,085","170","270","2,875","3,415","50","0","15","205","3,685","6,560"
"10007151","The University of Lincoln","50","20","735","0","280","1,085","3,580","60","0","0","615","4,250","5,335"
"10003956","Liverpool Hope University","15","0","285","450","80","830","1,070","0","0","0","150","1,220","2,050"
"10003957","Liverpool John Moores University","145","15","1,170","440","900","2,670","4,420","5","50","0","565","5,040","7,710"
"10003945","The Liverpool Institute for Performing Arts","0","0","0","0","0","0","240","0","0","0","20","260","260"
"10006842","The University of Liverpool","470","165","2,005","0","425","3,060","6,630","0","0","0","435","7,065","10,125"
"10003958","Liverpool School of Tropical Medicine","10","0","100","0","225","335","0","0","0","0","0","0","335"
"10007820","Grŵp Llandrillo Menai","0","0","0","0","0","0","125","190","15","35","190","555","555"
"10007162","University of the Arts, London","25","0","1,970","0","230","2,220","4,115","65","0","0","795","4,975","7,195"
"10013109","London Bridge Business Academy","0","0","0","0","0","0","0","0","55","0","0","55","55"
"10007769","London Business School","15","0","1,465","0","0","1,485","0","0","0","0","0","0","1,485"
"10030391","London Churchill College Ltd","0","0","0","0","0","0","0","0","250","0","0","250","250"
"10007797","University of London (Institutes and activities)","20","0","50","0","0","75","0","0","0","0","0","0","75"
"10039082","City and Guilds of London Art School","0","0","15","0","0","15","25","0","0","0","35","60","70"
"10023434","London School of Commerce & IT Limited","0","0","0","0","0","0","0","0","0","0","20","20","20"
"10015506","The London College","0","0","0","0","0","0","130","0","670","0","0","805","805"
"10004048","London Metropolitan University","35","10","370","120","395","930","1,775","15","0","25","400","2,215","3,150"
"10032594","London School of Academics Ltd","0","0","0","0","0","0","0","0","0","0","105","105","105"
"10004078","London South Bank University","30","0","925","55","1,000","2,015","2,565","150","220","0","480","3,410","5,425"
"10004063","London School of Economics and Political Science","175","0","5,065","0","40","5,285","1,520","0","0","0","0","1,520","6,805"
"10007771","London School of Hygiene and Tropical Medicine","85","0","530","0","10","625","0","0","0","0","0","0","625"
"10022285","London School of Management Education","0","0","0","0","0","0","10","0","95","0","120","225","225"
"10004075","London School of Theology","5","0","5","0","5","15","30","0","0","0","15","45","55"
"10004079","London Studio Centre","0","0","0","0","0","0","105","0","0","0","5","110","110"
"10062810","The London School of Architecture","0","0","0","0","35","35","0","0","0","0","0","0","35"
"10008289","The London Institute of Banking & Finance","0","0","5","0","0","5","40","0","0","0","25","65","70"
"10004035","The Film Education Training Trust Limited","0","0","0","0","15","15","0","0","0","0","0","0","15"
"10004113","Loughborough University","285","5","2,035","65","130","2,520","3,300","0","0","0","150","3,450","5,970"
"10009612","Luther King House Educational Trust","5","0","10","0","5","15","5","0","0","0","5","10","25"
"10004180","The Manchester Metropolitan University","100","25","1,600","810","710","3,245","6,990","120","0","0","800","7,910","11,155"
"10007798","The University of Manchester","1,005","70","5,535","330","830","7,770","7,630","0","0","0","455","8,085","15,855"
"10009527","Istituto Marangoni Limited","0","0","120","0","5","125","160","0","0","0","15","175","300"
"10023452","The Markfield Institute of Higher Education","0","0","30","0","0","35","15","0","0","0","0","15","50"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","0","0","0","0","0","0","15","0","0","0","5","20","20"
"10020416","Missio Dei","0","0","0","0","5","5","20","0","0","0","10","30","35"
"10030776","St Mellitus College","0","0","15","0","0","20","70","0","0","0","75","145","165"
"10004320","The Metanoia Institute","0","0","90","0","35","125","40","0","0","0","0","40","165"
"10004351","Middlesex University","115","20","1,090","235","535","1,995","4,090","45","0","0","990","5,125","7,120"
"10004365","Millennium Performing Arts Ltd","0","0","0","0","0","0","30","0","0","0","10","40","40"
"10032277","The Minster Centre","0","0","15","0","5","20","0","0","0","0","0","0","20"
"10004450","Mountview Academy of Theatre Arts","0","0","80","0","10","90","90","0","0","0","0","90","180"
"10023777","Mont Rose College of Management and Sciences","0","0","0","0","0","0","90","0","305","0","125","520","520"
"10023454","Moorlands College","0","0","15","0","5","20","55","0","0","0","10","65","85"
"10000216","All Nations Christian College","0","0","5","0","0","5","15","0","0","0","10","30","35"
"10004538","Nazarene Theological College","5","0","10","0","5","20","20","0","0","0","5","30","45"
"10030129","Nelson College London Ltd","0","0","0","0","0","0","75","0","380","0","5","465","465"
"10023456","Newbold College","0","0","10","0","0","10","10","0","0","0","15","25","35"
"10007799","Newcastle University","515","300","2,910","170","520","4,415","5,300","0","0","5","220","5,525","9,940"
"10045289","St Nicholas Montessori Training Limited","0","0","0","0","0","0","0","10","0","0","10","20","20"
"10048199","Northeastern University London","0","0","5","0","0","5","40","0","0","0","0","40","45"
"10008397","Norland College","0","0","0","0","0","0","80","0","0","0","5","85","85"
