﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10003956","Liverpool Hope University","51,323,000","43,803,000","1,122,000","793,000","45,718,000","46,817,000"
"10003957","Liverpool John Moores University","204,868,000","184,711,000","15,157,000","3,758,000","203,626,000","185,320,000"
"10003945","The Liverpool Institute for Performing Arts","10,078,000","8,988,000","0","798,000","9,786,000","9,143,000"
"10006842","The University of Liverpool","495,154,000","282,716,000","121,918,000","63,136,000","467,770,000","471,628,000"
"10003958","Liverpool School of Tropical Medicine","78,370,000","6,729,000","49,797,000","21,844,000","78,370,000","75,281,000"
"10007162","University of the Arts, London","280,890,000","238,121,000","4,756,000","12,464,000","255,341,000","254,184,000"
"10007769","London Business School","152,134,000","116,924,000","4,818,000","28,758,000","150,500,000","137,376,000"
"10007797","University of London (Institutes and activities)","151,368,000","65,597,000","1,627,000","56,425,000","123,649,000","155,054,000"
"10004048","London Metropolitan University","106,566,000","96,504,000","2,504,000","7,527,000","106,535,000","114,207,000"
"10004078","London South Bank University","138,178,000","116,658,000","4,052,000","6,537,000","127,247,000","134,907,000"
"10004063","London School of Economics and Political Science","340,636,000","183,901,000","50,096,000","70,412,000","304,409,000","307,166,000"
"10007771","London School of Hygiene and Tropical Medicine","167,799,000","22,353,000","128,501,000","16,614,000","167,468,000","162,856,000"
"10004113","Loughborough University","291,357,000","161,381,000","58,049,000","28,891,000","248,321,000","274,967,000"
"10004180","The Manchester Metropolitan University","297,976,000","253,170,000","12,050,000","10,423,000","275,643,000","269,697,000"
"10007798","The University of Manchester","987,235,000","484,856,000","342,200,000","107,182,000","934,238,000","943,172,000"
"10004351","Middlesex University","189,236,000","155,009,000","9,695,000","19,019,000","183,723,000","186,461,000"
"10007799","Newcastle University","476,203,000","259,506,000","144,034,000","48,989,000","452,529,000","456,462,000"
"10007138","The University of Northampton","129,543,000","108,337,000","1,583,000","6,779,000","116,699,000","123,267,000"
"10001282","University of Northumbria at Newcastle","246,779,000","196,894,000","12,239,000","21,313,000","230,446,000","246,211,000"
"10004775","Norwich University of the Arts","20,844,000","18,773,000","259,000","1,193,000","20,225,000","15,848,000"
"10007154","University of Nottingham","635,274,000","342,568,000","173,529,000","78,409,000","594,506,000","593,347,000"
"10004797","The Nottingham Trent University","258,537,000","222,789,000","10,028,000","17,866,000","250,683,000","242,473,000"
"10007773","The Open University","475,204,000","362,237,000","24,158,000","88,631,000","475,026,000","416,738,000"
"10004930","Oxford Brookes University","192,639,000","137,604,000","9,089,000","17,761,000","164,454,000","179,356,000"
"10007774","The University of Oxford","1,321,793,000","346,926,000","676,474,000","293,667,000","1,317,067,000","1,336,502,000"
"10005127","Arts University Plymouth","14,902,000","14,439,000","0","460,000","14,899,000","13,917,000"
"10007801","University of Plymouth","239,187,000","184,652,000","22,095,000","22,884,000","229,631,000","232,167,000"
"10007155","The University of Portsmouth","225,233,000","187,806,000","12,079,000","9,186,000","209,071,000","211,279,000"
"10005337","Queen Margaret University, Edinburgh","36,620,000","26,952,000","2,858,000","2,201,000","32,011,000","38,447,000"
"10007775","Queen Mary University of London","405,493,000","221,200,000","133,617,000","34,385,000","389,202,000","393,019,000"
"10005389","Ravensbourne University London","25,273,000","23,925,000","19,000","1,329,000","25,273,000","24,872,000"
"10007802","The University of Reading","344,768,000","166,056,000","50,166,000","118,215,000","334,437,000","288,773,000"
"10005500","Robert Gordon University","97,413,000","75,727,000","4,957,000","7,132,000","87,816,000","105,800,000"
"10007776","Roehampton University","105,491,000","79,249,000","5,047,000","7,160,000","91,456,000","96,742,000"
"10005523","Rose Bruford College of Theatre and Performance","9,456,000","7,709,000","64,000","606,000","8,379,000","9,423,000"
"10007835","Royal Academy of Music","27,253,000","12,505,000","330,000","13,795,000","26,630,000","18,556,000"
"10005545","Royal Agricultural University","18,251,000","12,960,000","414,000","1,474,000","14,848,000","17,510,000"
"10007777","Royal College of Art","46,405,000","34,310,000","5,787,000","5,706,000","45,803,000","43,210,000"
"10007778","Royal College of Music","24,147,000","14,949,000","1,162,000","7,472,000","23,583,000","21,814,000"
"10007816","The Royal Central School of Speech and Drama","15,913,000","13,971,000","725,000","952,000","15,648,000","14,220,000"
"10005553","Royal Holloway and Bedford New College","163,539,000","104,633,000","28,855,000","8,852,000","142,340,000","153,230,000"
"10007837","Royal Northern College of Music","20,815,000","13,699,000","440,000","5,550,000","19,689,000","18,666,000"
"10007779","The Royal Veterinary College","79,333,000","37,128,000","13,893,000","25,416,000","76,437,000","76,372,000"
"10007803","The University of St. Andrews","221,386,000","104,272,000","66,091,000","23,012,000","193,375,000","212,663,000"
"10007782","St George's, University of London","85,472,000","44,983,000","15,747,000","21,596,000","82,326,000","82,141,000"
"10008026","St Mary's University College","8,890,000","7,996,000","35,000","699,000","8,730,000","8,436,000"
"10007843","St Mary's University, Twickenham","50,940,000","42,153,000","470,000","2,102,000","44,725,000","51,144,000"
"10007156","The University of Salford","191,972,000","164,905,000","10,325,000","10,423,000","185,653,000","182,427,000"
"10007780","SOAS University of London","86,763,000","63,072,000","11,543,000","11,117,000","85,732,000","84,106,000"
"10005700","SRUC","79,508,000","25,328,000","19,361,000","32,491,000","77,180,000","74,075,000"
"10005790","Sheffield Hallam University","266,460,000","237,102,000","12,441,000","13,612,000","263,155,000","263,368,000"
"10007157","The University of Sheffield","635,724,000","332,223,000","211,251,000","56,042,000","599,516,000","596,881,000"
"10006022","Solent University","119,829,000","101,908,000","443,000","3,551,000","105,902,000","112,513,000"
"10007158","The University of Southampton","555,550,000","273,877,000","158,022,000","83,465,000","515,364,000","525,769,000"
"10006299","Staffordshire University","113,927,000","97,376,000","1,889,000","8,569,000","107,834,000","112,389,000"
"10007804","The University of Stirling","113,254,000","65,461,000","19,123,000","10,780,000","95,364,000","115,778,000"
"10037449","University of St Mark and St John","25,577,000","20,293,000","116,000","2,747,000","23,156,000","25,010,000"
"10008010","Stranmillis University College","12,799,000","10,016,000","255,000","471,000","10,742,000","12,630,000"
"10007805","The University of Strathclyde","280,867,000","160,664,000","83,168,000","25,333,000","269,165,000","273,899,000"
