﻿Title:,"Table 3 - Emissions and waste"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 3
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-3.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2015/16 
Search:,


"UKPRN","HE provider","Total scope 1 and 2 carbon emissions (Kg CO2e)","Total volume of wastewater (m3)","Total scope 3 carbon emissions from waste (tonnes CO2e)","Total scope 3 carbon emissions from water supply (tonnes CO2e)","Total scope 3 carbon emissions from wastewater treatment (tonnes CO2e)","Total waste mass (tonnes)"
"10007816","The Royal Central School of Speech and Drama","505,210.379","4,967.000","0.000","1.709","3.517","135.077"
"10005553","Royal Holloway and Bedford New College","11,056,608.806","126,368.200","","51.702","89.469","1,551.305"
"10007837","Royal Northern College of Music","1,235,019.207","7,605.000","2.140","2.616","5.384","118.073"
"10007779","The Royal Veterinary College","5,618,926.706","34,694.000","0.000","40.507","27.395","1,470.000"
"10007803","The University of St. Andrews","21,910,274.506","258,331.000","384.289","98.181","184.045","2,756.310"
"10007782","St George's, University of London","8,278,306.747","96,681.000","8.985","33.258","95.604","1,515.610"
"10008026","St Mary's University College","585,702.976","2,175.000","","0.788","1.540","90.770"
"10007843","St Mary's University, Twickenham","2,817,860.666","37,303.000","","13.414","26.711","741.330"
"10007156","The University of Salford","9,157,063.049","104,839.000","1,781.060","36.065","74.226","6,658.589"
"10007780","SOAS University of London","1,524,327.872","27,317.000","17,343.000","9.397","19.340","526.709"
"10005700","SRUC","","","","62.547","",""
"10005790","Sheffield Hallam University","11,784,319.928","83,714.000","14.541","30.313","59.383","834.904"
"10007157","The University of Sheffield","40,350,276.346","433,361.005","","168.204","306.856","5,436.360"
"10006022","Solent University","5,761,055.898","77,742.000","6,460.860","29.159","55.041","533.800"
"10007158","The University of Southampton","31,655,779.520","473,112.000","","171.316","334.963","7,783.982"
"10006299","Staffordshire University","8,322,029.701","93,990.000","","32.332","66.545","2,287.000"
"10007804","The University of Stirling","11,718,899.629","230,623.000","","82.026","163.281","1,324.800"
"10037449","University of St Mark and St John","2,270,877.744","29,344.000","21.800","10.095","20.776","193.891"
"10008010","Stranmillis University College","2,041,058.664","15,773.000","","5.711","11.167","75.093"
"10007805","The University of Strathclyde","28,307,051.850","154,561.000","213.000","55.967","","588.000"
"10014001","University of Suffolk","2,032,563.231","13,712.400","","5.242","9.708","126.117"
"10007159","The University of Sunderland","7,909,025.270","101,259.960","13.970","34.128","71.692","7,490.054"
"10007160","The University of Surrey","21,280,537.065","324,947.000","42.530","141.329","235.317","2,065.808"
