﻿Title:,"Table 16 - HE qualifiers by HE provider and level of qualification obtained"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 16
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-16.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Academic year,2014/15 
Search:,


"UKPRN","HE provider","Doctorate research","Other postgraduate research","Master's taught","Postgraduate Certificate in Education","Other postgraduate taught","Total postgraduate","First degree","Foundation degree","HNC/HND","Professional Graduate Certificate in Education","Other undergraduate","Total undergraduate","Total"
"10004775","Norwich University of the Arts","0","0","35","0","0","40","475","0","0","0","80","550","590"
"10007154","University of Nottingham","740","80","2,560","335","465","4,185","7,030","0","0","10","1,255","8,300","12,480"
"10004797","The Nottingham Trent University","90","5","1,180","170","560","2,005","5,180","140","10","75","435","5,845","7,850"
"10007773","The Open University","125","10","1,365","85","2,660","4,245","11,750","700","0","50","3,315","15,815","20,055"
"10004930","Oxford Brookes University","55","0","1,185","220","650","2,115","2,960","465","0","105","645","4,170","6,285"
"10007774","The University of Oxford","1,055","60","2,590","160","385","4,240","3,330","0","0","10","230","3,570","7,810"
"10006243","St Patrick's International College","0","0","0","0","0","0","0","0","435","0","0","435","435"
"10005127","Arts University Plymouth","0","0","0","0","0","0","215","45","0","0","0","260","260"
"10007801","University of Plymouth","145","10","680","145","455","1,435","5,465","960","120","125","545","7,210","8,645"
"10007155","The University of Portsmouth","105","5","1,335","50","215","1,710","4,960","225","15","90","445","5,735","7,445"
"10005337","Queen Margaret University, Edinburgh","15","0","280","0","190","485","790","0","0","0","110","900","1,380"
"10007775","Queen Mary University of London","300","5","2,105","0","355","2,760","2,980","0","0","0","180","3,160","5,920"
"10005544","Royal Academy of Dance","0","0","0","0","0","0","30","0","0","0","5","35","35"
"10005389","Ravensbourne University London","0","0","30","0","0","30","470","10","0","0","5","480","510"
"10005470","Richmond, The American International University in London","0","0","0","0","0","0","125","0","0","0","0","125","125"
"10007802","The University of Reading","255","20","1,520","215","390","2,405","2,575","45","0","75","150","2,845","5,250"
"10003331","Regent's University London","0","0","0","0","0","0","475","0","0","0","20","495","495"
"10021100","Regents Theological College","0","0","0","0","0","0","40","0","0","0","5","45","45"
"10008455","Regent College London","0","0","0","0","0","0","0","0","60","0","0","60","60"
"10005500","Robert Gordon University","30","5","965","0","430","1,430","2,100","0","10","0","260","2,370","3,800"
"10007776","Roehampton University","30","0","395","375","180","985","1,485","55","0","10","135","1,690","2,675"
"10005523","Rose Bruford College of Theatre and Performance","0","0","10","0","0","10","205","0","0","0","5","210","225"
"10007835","Royal Academy of Music","5","0","135","0","60","200","85","0","0","0","0","85","290"
"10005545","Royal Agricultural University","0","0","105","0","0","105","295","60","0","0","15","370","475"
"10007777","Royal College of Art","20","5","625","0","0","645","0","0","0","0","0","0","645"
"10007778","Royal College of Music","5","0","145","0","45","195","85","0","0","0","15","100","295"
"10005561","Royal Conservatoire of Scotland","0","0","90","0","5","100","210","0","0","0","15","225","325"
"10007816","The Royal Central School of Speech and Drama","5","0","245","0","25","275","205","0","0","0","15","215","495"
"10005553","Royal Holloway and Bedford New College","175","35","975","0","150","1,335","1,990","0","0","0","110","2,100","3,440"
"10007837","Royal Northern College of Music","0","0","75","0","35","115","145","0","0","0","15","160","275"
"10007779","The Royal Veterinary College","30","5","60","0","60","150","340","40","0","0","25","405","555"
"10007803","The University of St. Andrews","230","10","805","0","100","1,150","1,565","0","0","0","130","1,695","2,845"
"10007839","SAE Education Limited","0","0","0","0","0","0","60","0","0","0","0","60","60"
"10007782","St George's, University of London","30","15","45","0","95","185","695","90","0","0","70","850","1,035"
"10008026","St Mary's University College","0","0","15","20","5","40","220","0","0","0","0","220","260"
"10007843","St Mary's University, Twickenham","5","0","170","315","65","555","925","70","0","55","75","1,125","1,680"
"10007156","The University of Salford","165","20","1,365","0","620","2,165","3,480","25","45","0","265","3,810","5,975"
"10008362","London School of Science and Technology Limited","0","0","0","0","0","0","10","0","310","0","0","320","320"
"10007780","SOAS University of London","100","0","1,280","0","55","1,435","675","0","0","0","230","905","2,340"
"10005700","SRUC","0","0","10","0","15","20","175","0","555","0","0","730","755"
"10005790","Sheffield Hallam University","80","5","1,480","480","815","2,860","7,205","285","10","65","1,015","8,585","11,450"
"10007157","The University of Sheffield","610","25","3,280","75","550","4,540","4,660","0","0","0","155","4,815","9,350"
"10005916","Slough Borough Council","0","0","0","0","0","0","15","0","0","0","0","20","20"
"10006022","Solent University","5","0","150","0","65","225","2,595","185","280","0","360","3,420","3,645"
"10007158","The University of Southampton","505","30","2,840","310","340","4,025","4,085","0","0","15","300","4,400","8,425"
"10006299","Staffordshire University","10","0","415","75","425","930","2,755","665","165","5","440","4,035","4,965"
"10007804","The University of Stirling","115","5","840","0","290","1,245","1,235","0","40","0","235","1,505","2,755"
"10037449","University of St Mark and St John","0","0","50","65","85","205","585","70","0","10","10","680","880"
"10008010","Stranmillis University College","0","0","10","15","25","55","255","90","0","0","0","345","400"
"10007805","The University of Strathclyde","230","50","1,320","585","390","2,575","2,675","0","0","0","500","3,175","5,750"
"10014001","University of Suffolk","0","0","45","0","75","125","865","290","50","45","160","1,410","1,535"
"10007159","The University of Sunderland","30","0","1,430","125","430","2,015","3,520","275","0","160","655","4,610","6,625"
"10007160","The University of Surrey","255","0","1,510","0","245","2,010","2,145","20","0","0","305","2,470","4,480"
"10007806","The University of Sussex","210","10","1,575","230","140","2,160","2,905","0","0","0","115","3,015","5,180"
"10007855","Swansea University","155","50","975","0","160","1,345","2,595","60","20","0","220","2,895","4,240"
"10032299","Tech Music Schools","0","0","0","0","0","0","160","0","0","0","0","160","160"
"10007161","Teesside University","20","0","580","0","310","905","2,875","465","435","115","885","4,770","5,675"
"10037822","Tottenham Hotspur Foundation","0","0","0","0","0","0","0","35","0","0","0","35","35"
"10008017","Trinity Laban Conservatoire of Music and Dance","0","0","110","0","55","165","170","0","0","0","10","175","340"
"10007858","University of Wales Trinity Saint David","40","5","460","355","190","1,055","1,760","225","280","60","585","2,910","3,965"
"10007114","University of the Highlands and Islands","15","0","70","35","50","170","685","0","1,700","0","375","2,760","2,930"
"10007807","Ulster University","110","5","1,045","115","925","2,195","4,655","5","0","0","1,195","5,855","8,050"
"10039956","The University of Law","0","0","0","0","0","0","120","0","0","0","0","120","120"
"10007784","University College London","960","295","5,450","0","730","7,435","3,975","0","0","0","20","3,995","11,430"
"10007793","University of South Wales","50","10","1,315","5","565","1,945","4,445","600","515","0","1,225","6,780","8,725"
"10007163","The University of Warwick","380","35","3,025","275","570","4,285","3,570","40","0","10","480","4,105","8,390"
"10007164","University of the West of England, Bristol","60","0","835","220","540","1,655","5,320","215","0","25","280","5,840","7,495"
"10007800","The University of the West of Scotland","5","0","485","155","140","785","4,555","0","0","0","300","4,855","5,640"
"10006566","The University of West London","15","0","385","0","305","705","2,140","150","0","0","495","2,780","3,485"
"10007165","The University of Westminster","70","0","2,055","0","585","2,715","3,435","15","0","10","615","4,075","6,790"
"10003614","The University of Winchester","10","0","140","135","195","480","1,590","30","0","15","115","1,750","2,230"
"10023290","West London College of Business and Management Sciences Limited","0","0","0","0","0","0","0","0","280","0","0","280","280"
"10007166","The University of Wolverhampton","35","5","560","300","590","1,495","3,705","175","110","55","670","4,710","6,205"
"10007139","University of Worcester","15","0","175","385","165","745","1,945","510","115","0","430","3,000","3,745"
"10007833","Wrexham University","10","0","315","0","135","465","1,190","180","125","45","350","1,890","2,355"
"10007657","Writtle University College","0","0","0","0","0","0","180","20","0","0","40","240","240"
"10007713","York St John University","5","5","175","175","80","435","1,595","60","0","0","370","2,025","2,460"
"10007167","The University of York","300","50","1,710","70","265","2,395","3,235","20","0","0","760","4,015","6,410"
"","Total","22,325","4,340","164,130","21,315","49,520","261,630","399,810","16,960","10,120","3,740","63,240","493,865","755,495"
