﻿Title:,"Table 8 - Expenditure - breakdown by HE provider, activity, HESA cost centre and academic year"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2019/20 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10045476","Met Film School Limited","2019-09-30","870","2,578","3,448","0","3,056","108","1","6,613"
"10004511","The National Film and Television School","2020-07-31","2,103","4,207","6,310","0","8,017","1,490","112","15,929"
"10022087","Futureworks","2019-08-31","1,041","394","1,435","0","1,644","104","0","3,183"
"10042500","Global Banking School Limited","2020-02-28","1,048","693","1,741","0","6,520","65","0","8,326"
"10007762","Glasgow Caledonian University","2020-07-31","50,755","38,088","88,843","176","32,056","5,428","1,057","127,560"
"10002681","Glasgow School of Art","2020-07-31","12,187","12,612","24,799","7,800","12,441","2,573","332","47,945"
"10007794","The University of Glasgow","2020-07-31","196,238","121,271","317,509","0","232,157","32,515","9,162","591,343"
"10007145","University of Gloucestershire","2020-07-31","23,873","24,360","48,233","395","22,333","7,057","1,666","79,684"
"10002718","Goldsmiths College","2020-07-31","48,518","30,116","78,634","0","37,546","11,766","2,310","130,256"
"10007146","The University of Greenwich","2020-07-31","57,546","51,163","108,709","830","83,995","7,103","7,634","208,271"
"10007825","Guildhall School of Music and Drama","2020-07-31","10,381","12,521","22,902","0","12,474","0","0","35,376"
"10040812","Harper Adams University","2020-07-31","13,090","12,155","25,245","0","12,136","4,021","948","42,350"
"10080811","Hartpury University","2020-07-31","9,484","14,904","24,388","0","12,305","2,619","1,336","40,648"
"10007764","Heriot-Watt University","2020-07-31","54,609","44,949","99,558","361","101,717","13,839","7,001","222,476"
"10007147","University of Hertfordshire","2020-07-31","80,996","70,136","151,132","0","105,919","17,020","3,535","277,606"
"10007148","The University of Huddersfield","2020-07-31","56,356","53,759","110,115","2,083","48,377","9,730","2,271","172,576"
"10007149","The University of Hull","2020-07-31","60,712","27,392","88,104","9,347","58,525","19,693","2,388","178,057"
"10003239","ICON College of Technology and Management","2019-09-30","655","526","1,181","0","3,613","52","5","4,851"
"10003270","Imperial College of Science, Technology and Medicine","2020-07-31","282,160","212,341","494,501","1,453","364,280","79,695","21,652","961,581"
"10013220","Institute of Art - London Limited","2019-08-31","1,315","1,004","2,319","0","5,949","118","95","8,481"
"10067388","The Institute of Ismaili Studies","2019-12-31","4,461","2,150","6,611","0","7,892","77","0","14,580"
"10035638","Institute of Contemporary Music Performance","2020-05-31","1,903","2,210","4,113","22","2,656","225","94","7,110"
"10082728","INTO University Partnerships Limited","2020-07-31","6,410","36,167","42,577","0","44,440","4,416","3,966","95,399"
"10067601","JSA Education Group Ltd.","2020-07-31","77","17","94","0","44","0","0","138"
"10021682","Kaplan Open Learning (Essex) Limited","2019-12-31","533","1,644","2,177","0","4,106","113","0","6,396"
"10007767","Keele University","2020-07-31","47,298","9,282","56,580","0","56,684","9,006","4,754","127,024"
"10007150","The University of Kent","2020-07-31","82,493","40,623","123,116","10,240","85,528","21,983","5,542","246,409"
"10003645","King's College London","2020-07-31","217,042","229,667","446,709","0","342,352","59,615","19,403","868,079"
"10008325","KLC School of Design","2019-08-31","1,039","1,000","2,039","0","1,899","84","0","4,022"
"10003678","Kingston University","2020-07-31","59,342","52,406","111,748","68","62,289","17,156","8,324","199,585"
"10003758","LAMDA Limited","2020-07-31","2,476","3,149","5,625","200","5,050","1,232","144","12,251"
"10007768","The University of Lancaster","2020-07-31","57,626","80,005","137,631","325","101,404","22,406","7,295","269,061"
"10003854","Leeds Arts University","2020-07-31","7,145","5,663","12,808","0","5,963","1,714","223","20,708"
"10003861","Leeds Beckett University","2020-07-31","63,571","67,664","131,235","2,072","59,314","22,629","8,933","224,183"
"10003798","Le Cordon Bleu Limited","2019-12-31","1,556","1,255","2,811","0","5,306","523","339","8,979"
"10034449","Leeds Conservatoire","2020-07-31","3,897","5,497","9,394","96","4,191","981","246","14,908"
"10007795","The University of Leeds","2020-07-31","197,312","148,415","345,727","0","265,418","57,996","12,786","681,927"
"10003863","Leeds Trinity University","2020-07-31","9,283","11,883","21,166","0","8,843","2,923","732","33,664"
"10007796","The University of Leicester","2020-07-31","94,147","62,518","156,665","0","107,680","23,094","5,564","293,003"
"10007151","The University of Lincoln","2020-07-31","60,062","41,475","101,537","0","56,835","11,247","4,035","173,654"
"10003956","Liverpool Hope University","2020-07-31","16,561","15,682","32,243","0","10,257","3,790","1,270","47,560"
"10003957","Liverpool John Moores University","2020-07-31","87,560","54,651","142,211","0","58,477","9,881","6,444","217,013"
"10003945","The Liverpool Institute for Performing Arts","2020-07-31","3,523","3,744","7,267","0","2,898","946","37","11,148"
"10006842","The University of Liverpool","2020-07-31","149,506","113,726","263,232","11,231","197,350","43,776","13,154","528,743"
"10003958","Liverpool School of Tropical Medicine","2020-07-31","7,476","18,139","25,615","0","188,199","1,911","368","216,093"
"10007162","University of the Arts, London","2020-07-31","70,016","136,624","206,640","3,164","108,732","3,835","4,817","327,188"
"10013109","London Bridge Business Academy","2019-12-31","61","52","113","0","409","4","0","526"
"10007769","London Business School","2020-07-31","34,137","36,007","70,144","1,410","66,850","11,296","2,110","151,810"
"10007797","University of London (Institutes and activities)","2020-07-31","5,644","43,681","49,325","0","102,562","8,001","3,053","162,941"
"10039082","City and Guilds of London Art School","2019-08-31","1,314","157","1,471","0","1,104","55","0","2,630"
"10023434","London School of Commerce & IT Limited","2020-03-31","138","87","225","0","610","6","0","841"
"10004036","London Film School Limited","2019-08-31","1,351","818","2,169","0","2,335","54","0","4,558"
"10015506","The London College","2019-08-31","366","778","1,144","30","2,621","41","0","3,836"
"10015506","The London College","2020-07-31","687","575","1,262","0","2,908","28","0","4,198"
"10004048","London Metropolitan University","2020-07-31","30,072","28,563","58,635","595","35,692","6,709","2,155","103,786"
"10032594","London School of Academics Ltd","2020-03-31","122","29","151","0","267","4","0","422"
"10004078","London South Bank University","2020-07-31","42,466","60,776","103,242","379","63,980","10,627","4,920","183,148"
"10004063","London School of Economics and Political Science","2020-07-31","99,391","79,203","178,594","0","136,438","15,047","9,730","339,809"
"10007771","London School of Hygiene and Tropical Medicine","2020-07-31","45,245","47,571","92,816","0","117,911","7,702","1,417","219,846"
"10022285","London School of Management Education","2019-08-31","357","359","716","0","546","40","0","1,302"
"10004075","London School of Theology","2019-08-31","1,040","937","1,977","0","1,503","242","4","3,726"
"10004079","London Studio Centre","2019-08-31","456","809","1,265","0","2,974","320","2","4,561"
"10062810","The London School of Architecture","2020-06-30","56","219","275","0","476","10","0","761"
"10008289","The London Institute of Banking & Finance","2020-07-31","601","8,152","8,753","350","8,972","192","0","18,267"
"10004035","The Film Education Training Trust Limited","2020-01-31","157","569","726","0","1,016","38","2","1,782"
"10067623","The London Interdisciplinary School Ltd","2020-07-31","159","507","666","0","922","0","0","1,588"
"10004113","Loughborough University","2020-07-31","65,470","75,203","140,673","0","94,847","30,663","6,452","272,635"
"10009612","Luther King House Educational Trust","2019-08-31","215","462","677","0","580","69","15","1,341"
"10004180","The Manchester Metropolitan University","2020-07-31","107,602","107,329","214,931","0","107,619","14,189","4,737","341,476"
"10007798","The University of Manchester","2020-07-31","236,486","228,633","465,119","18,902","337,468","98,819","25,000","945,308"
"10009527","Istituto Marangoni Limited","2020-06-30","2,097","1,126","3,223","0","6,395","545","0","10,163"
"10023452","The Markfield Institute of Higher Education","2019-12-31","227","77","304","0","170","1","0","475"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","2019-08-31","126","26","152","0","189","6","0","347"
"10020416","Missio Dei","2020-06-30","287","755","1,042","46","861","64","0","2,013"
"10030776","St Mellitus College","2020-07-31","662","270","932","0","2,447","7","3","3,389"
"10004320","The Metanoia Institute","2019-08-31","1,486","1,310","2,796","0","808","71","0","3,675"
