﻿Title:,"Table 8 - Expenditure - breakdown by activity and HESA cost centre"
Subtitle:,"Academic years 2015/16 to 2023/24"
Reference ID:,DT031 Table 8
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/finances/table-8.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Search by HE provider
,Country of HE provider,All 
,Region of HE provider,All 
,HESA cost centre group,Total expenditure 
,HESA cost centre,Total expenditure 
,Academic year,2018/19 
,Financial Year End,All 
Search:,


"","","","","Activity (£000s)",""
"UKPRN","HE Provider","Financial Year End","Academic staff costs","Other staff costs","Total staff costs","Restructuring costs","Other operating expenses","Depreciation and amortisation","Interest and other finance costs","Total expenditure"
"10008010","Stranmillis University College","2019-07-31","3,799","4,224","8,023","0","3,188","1,330","119","12,660"
"10007805","The University of Strathclyde","2019-07-31","122,243","139,438","261,681","1,019","107,184","32,403","2,415","404,702"
"10014001","University of Suffolk","2019-07-31","16,556","12,597","29,153","0","25,020","3,130","1,317","58,620"
"10007159","The University of Sunderland","2019-07-31","34,511","44,865","79,376","1,571","51,447","9,121","4,811","146,326"
"10007160","The University of Surrey","2019-07-31","86,343","132,685","219,028","5,504","102,436","32,367","11,177","370,512"
"10007806","The University of Sussex","2019-07-31","94,788","106,102","200,890","0","114,262","20,316","8,714","344,182"
"10007855","Swansea University","2019-07-31","77,922","156,845","234,767","0","130,854","22,031","7,309","394,961"
"10007161","Teesside University","2019-07-31","42,685","47,704","90,389","0","39,136","10,975","1,262","141,762"
"10008017","Trinity Laban Conservatoire of Music and Dance","2019-07-31","8,742","10,339","19,081","0","10,034","1,464","153","30,732"
"10007858","University of Wales Trinity Saint David","2019-07-31","41,565","45,546","87,111","2,192","53,241","8,546","3,404","154,494"
"10068157","University Centre Peterborough","2019-07-31","1,644","250","1,894","0","2,085","42","0","4,021"
"10007114","University of the Highlands and Islands","2019-07-31","5,744","14,587","20,331","0","125,009","2,246","302","147,888"
"10007807","Ulster University","2019-07-31","71,924","91,099","163,023","0","68,253","17,631","1,668","250,575"
"10007784","University College London","2019-07-31","783,738","261,898","1,045,636","0","531,123","86,140","8,464","1,671,363"
"10007793","University of South Wales","2019-07-31","65,478","49,998","115,476","0","57,720","14,430","5,829","193,455"
"10008574","The University of Wales (central functions)","2019-07-31","568","3,962","4,530","2","4,742","386","58","9,718"
"10007163","The University of Warwick","2019-07-31","251,094","228,908","480,002","0","227,472","47,485","9,730","764,689"
"10007164","University of the West of England, Bristol","2019-07-31","86,946","84,801","171,747","0","84,528","19,732","4,839","280,846"
"10007800","The University of the West of Scotland","2019-07-31","45,928","28,819","74,747","835","28,879","18,719","5,436","128,616"
"10006566","The University of West London","2019-07-31","31,696","19,277","50,973","244","40,882","5,969","3,659","101,727"
"10007165","The University of Westminster","2019-07-31","61,820","45,882","107,702","0","65,188","14,831","5,266","192,987"
"10003614","The University of Winchester","2019-07-31","25,510","21,363","46,873","0","29,026","5,345","2,183","83,427"
"10007166","The University of Wolverhampton","2019-07-31","58,912","60,988","119,900","0","48,659","12,424","2,402","183,385"
"10007139","University of Worcester","2019-07-31","29,708","25,343","55,051","0","32,976","4,464","4,111","96,602"
"10007833","Wrexham University","2019-07-31","11,271","10,881","22,152","648","10,727","2,202","851","36,580"
"10007657","Writtle University College","2019-07-31","4,491","5,390","9,881","56","5,844","1,584","382","17,747"
"10007713","York St John University","2019-07-31","18,860","18,983","37,843","0","24,137","4,650","1,026","67,656"
"10007167","The University of York","2019-07-31","121,728","173,293","295,021","0","118,721","32,550","8,769","455,061"
"","Total","","13,646,298","12,535,094","26,181,392","126,710","14,634,624","2,665,231","844,062","44,452,019"
