﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2023/24"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,Entrant marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK","European Union","Non-European Union","Total Non-UK","Not known","Total"
"10008640","Falmouth University","5,465","40","170","35","20","5,730","445","245","690","0","6,425"
"10033187","Fairfield School of Business Ltd","800","0","0","0","85","885","0","0","0","0","885"
"10045476","Met Film School Limited","125","5","0","0","0","135","85","85","170","0","305"
"10004511","The National Film and Television School","365","15","0","0","0","385","105","60","165","0","550"
"10038763","ForMission Ltd","175","0","5","0","0","180","5","0","5","0","185"
"10022087","Futureworks","445","5","10","5","0","460","20","0","20","0","485"
"10007762","Glasgow Caledonian University","620","13,970","25","140","0","14,755","905","1,195","2,105","0","16,860"
"10002681","Glasgow School of Art","485","945","15","35","5","1,480","280","525","805","0","2,285"
"10007794","The University of Glasgow","3,210","17,140","90","660","15","21,120","3,135","6,550","9,685","0","30,805"
"10007145","University of Gloucestershire","7,085","15","590","50","10","7,750","120","390","510","0","8,255"
"10002718","Goldsmiths College","7,425","50","75","30","5","7,580","900","1,930","2,830","0","10,410"
"10030408","Gower College Swansea","0","0","130","0","0","130","0","0","0","0","130"
"10007146","The University of Greenwich","14,335","70","70","40","20","14,540","1,355","2,760","4,115","0","18,655"
"10007937","GSM London","4,570","0","0","0","35","4,610","5","70","75","0","4,685"
"10007825","Guildhall School of Music and Drama","670","30","20","5","0","725","175","185","360","0","1,085"
"10040812","Harper Adams University","4,260","265","380","190","25","5,115","115","145","260","0","5,375"
"10080811","Hartpury University","1,470","15","165","15","5","1,670","65","80","145","0","1,815"
"10007764","Heriot-Watt University","1,695","5,570","55","440","15","7,775","960","2,200","3,160","0","10,935"
"10007147","University of Hertfordshire","19,475","75","100","60","20","19,730","850","3,700","4,550","0","24,280"
"10007148","The University of Huddersfield","13,930","25","105","35","20","14,115","550","2,630","3,180","0","17,295"
"10007149","The University of Hull","13,670","35","75","45","25","13,855","620","1,620","2,240","0","16,090"
"10003239","ICON College of Technology and Management","1,485","0","0","0","0","1,485","0","0","0","0","1,485"
"10003270","Imperial College of Science, Technology and Medicine","8,530","210","230","65","0","9,040","3,305","6,770","10,075","0","19,115"
"10004023","London College of International Business Studies Ltd","100","0","0","0","0","100","10","5","15","0","115"
"10035638","Institute of Contemporary Music Performance","635","10","10","0","20","675","235","85","320","0","995"
"10029682","The Islamic College","65","0","0","0","0","65","0","0","0","0","65"
"10021682","Kaplan Open Learning (Essex) Limited","1,080","10","20","5","0","1,115","0","0","0","0","1,115"
"10007767","Keele University","9,580","40","250","50","25","9,950","240","680","920","0","10,865"
"10003566","Kensington College of Business","495","0","0","0","0","495","0","0","0","0","495"
"10007150","The University of Kent","14,845","30","110","45","45","15,075","1,495","2,695","4,190","0","19,265"
"10003645","King's College London","19,910","195","275","110","20","20,510","4,230","8,155","12,385","0","32,895"
"10008325","KLC School of Design","170","0","0","0","0","170","10","10","20","0","190"
"10003678","Kingston University","13,305","30","120","20","20","13,495","780","2,535","3,315","0","16,810"
"10009285","Kogan Academy of Dramatic Arts","5","0","0","0","0","5","0","0","0","0","5"
"10007768","The University of Lancaster","9,180","95","340","75","75","9,770","1,390","3,305","4,695","0","14,465"
"10066551","LCCM AU UK Limited","185","5","0","0","0","195","40","20","55","0","250"
"10003854","Leeds Arts University","1,615","15","35","15","5","1,680","45","120","165","0","1,850"
"10003861","Leeds Beckett University","21,270","115","255","195","55","21,890","410","975","1,385","0","23,275"
"10034449","Leeds Conservatoire","1,035","20","20","10","0","1,090","35","55","90","0","1,180"
"10007795","The University of Leeds","26,155","170","435","190","70","27,020","1,545","7,690","9,235","0","36,250"
"10003863","Leeds Trinity University","3,300","10","25","30","0","3,365","40","10","50","0","3,415"
"10007796","The University of Leicester","12,510","50","230","45","35","12,870","640","3,340","3,985","0","16,855"
"10007151","The University of Lincoln","14,560","50","135","45","10","14,800","220","855","1,075","0","15,875"
"10003956","Liverpool Hope University","3,960","10","155","765","25","4,920","110","70","180","0","5,100"
"10003957","Liverpool John Moores University","18,575","50","1,460","2,075","100","22,255","455","1,320","1,775","0","24,030"
"10003945","The Liverpool Institute for Performing Arts","575","15","35","10","5","635","30","155","185","0","820"
"10006842","The University of Liverpool","19,160","95","1,025","580","120","20,980","1,005","7,710","8,715","0","29,695"
"10003958","Liverpool School of Tropical Medicine","210","15","15","5","0","245","35","140","175","0","420"
"10007820","Grŵp Llandrillo Menai","15","0","1,395","0","0","1,410","0","0","0","0","1,410"
"10007162","University of the Arts, London","9,065","120","135","55","25","9,400","2,450","7,240","9,695","0","19,095"
"10013109","London Bridge Business Academy","180","0","0","0","5","185","0","0","0","0","185"
"10007769","London Business School","490","5","0","0","0","500","325","1,255","1,580","0","2,075"
"10030391","London Churchill College Ltd","885","0","0","0","0","885","0","0","0","0","885"
"10007797","University of London (Institutes and activities)","145","5","5","0","0","150","35","60","90","0","245"
"10039082","City and Guilds of London Art School","180","5","0","0","0","185","35","15","50","0","235"
"10023434","London School of Commerce & IT Limited","50","0","0","0","0","50","0","0","0","0","50"
"10015506","The London College","975","0","0","0","0","975","10","0","10","0","985"
"10004048","London Metropolitan University","8,035","30","45","15","10","8,135","590","380","965","0","9,100"
"10032594","London School of Academics Ltd","120","0","0","0","0","120","0","0","0","0","120"
"10004078","London South Bank University","15,415","20","70","40","5","15,545","590","985","1,575","0","17,125"
"10004063","London School of Economics and Political Science","3,700","50","65","30","5","3,855","2,180","5,820","8,000","0","11,850"
"10007771","London School of Hygiene and Tropical Medicine","545","10","5","5","0","565","105","500","605","0","1,170"
"10022285","London School of Management Education","375","0","0","0","0","375","5","0","5","0","380"
"10004075","London School of Theology","270","0","10","5","0","285","10","20","30","0","315"
"10004079","London Studio Centre","240","15","15","0","0","270","40","15","60","0","330"
"10062810","The London School of Architecture","60","0","0","0","0","60","10","5","15","0","75"
"10008289","The London Institute of Banking & Finance","215","5","5","0","0","220","5","0","5","0","225"
"10004035","The Film Education Training Trust Limited","10","0","0","0","0","10","10","10","20","0","35"
"10004113","Loughborough University","13,175","115","380","145","65","13,880","885","3,260","4,145","0","18,025"
"10009612","Luther King House Educational Trust","100","0","5","0","0","105","0","5","5","0","110"
"10004180","The Manchester Metropolitan University","29,030","135","790","415","75","30,450","915","1,685","2,600","0","33,050"
"10007798","The University of Manchester","24,130","315","855","425","85","25,810","2,980","11,460","14,440","0","40,250"
"10009527","Istituto Marangoni Limited","95","0","0","0","0","100","230","495","725","0","825"
"10023452","The Markfield Institute of Higher Education","85","0","0","0","0","85","5","0","5","0","90"
"10023453","Matrix College of Counselling and Psychotherapy Ltd","80","0","0","0","0","80","0","0","0","0","80"
"10020416","Missio Dei","80","0","0","0","0","85","0","0","0","0","85"
"10030776","St Mellitus College","550","0","5","0","0","555","0","0","0","0","555"
"10004320","The Metanoia Institute","345","0","0","0","0","345","5","0","5","0","355"
"10004351","Middlesex University","14,840","75","85","20","30","15,050","1,895","2,690","4,580","0","19,635"
"10004365","Millennium Performing Arts Ltd","85","5","5","0","0","95","5","0","5","0","100"
"10032277","The Minster Centre","140","0","0","0","0","140","0","0","0","0","140"
"10004450","Mountview Academy of Theatre Arts","305","25","10","0","0","340","15","35","50","0","390"
"10023777","Mont Rose College of Management and Sciences","1,010","0","0","0","0","1,010","0","0","0","0","1,010"
"10023454","Moorlands College","260","5","5","5","0","270","0","0","0","0","275"
"10000216","All Nations Christian College","40","0","0","0","0","40","10","10","20","0","65"
